id,date,amount,merchant,description,category
2349,2024-04-04,71.78,Powell Group,Powell Group - Lunch with friends,Education
2350,2023-11-20,43.45,Lyft,Lyft - Online purchase,Transport
2351,2024-02-28,28.66,Spotify,Spotify - Gas refill,Entertainment
2352,2024-04-28,50.45,Corner Grocery,Taxi ride,Travel
2353,2026-01-06,50.29,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
2354,2023-12-25,1.37,"Nguyen, Castro and Young",Electric bill payment,Bills
2355,2024-04-02,8.22,Larson-Garcia,Larson-Garcia - Flight booking,Bills
2356,2024-09-10,13.38,Delta Airlines,Delta Airlines - Monthly subscription,Travel
2357,2024-10-10,1.82,Murray Inc,Flight booking,Travel
2358,2026-02-20,62.4,Lane Group,Lunch with friends,Travel
2359,2026-04-24,13.65,Netflix Streaming,Prescription purchase,Entertainment
2360,2025-06-10,4.82,Joe's Pizza,Joe's Pizza - Taxi ride,Food
2361,2025-05-13,3.16,Martin-Harrington,Lunch with friends,Shopping
2362,2025-04-05,5.28,Spotify,Spotify - Lunch with friends,Entertainment
2363,2025-07-05,49.29,CVS Pharmacy,CVS Pharmacy - Hotel stay,Travel
2364,2024-09-19,41.36,Gas Station,Gas Station - Lunch with friends,Bills
2365,2024-09-10,85.84,"Gomez, Gibson and Gilbert",Flight booking,Others
2366,2024-01-14,81.42,Jackson-Steele,Jackson-Steele - Prescription purchase,Others
2367,2024-10-17,2.16,Lyft,Lyft - Online purchase,Transport
2368,2025-04-20,69.71,Uber Eats,Lunch with friends,Transport
2369,2023-12-17,8.17,Roberts Ltd,Roberts Ltd - Electric bill payment,Bills
2370,2025-09-13,8.42,Delta Airlines,Delta Airlines - Online purchase,Travel
2371,2025-04-29,54.56,Starbucks Coffee,Starbucks Coffee - Course fee,Utilities
2372,2024-01-18,18.57,Waterworks,Waterworks - Online purchase,Bills
2373,2025-09-16,79.52,Starbucks Coffee,Prescription purchase,Food
2374,2024-01-09,79.93,Local Taxi,Local Taxi - Taxi ride,Transport
2375,2026-05-20,2.84,Sullivan PLC,Prescription purchase,Shopping
2376,2023-11-12,4.39,City Hospital,City Hospital - Taxi ride,Transport
2377,2025-09-09,35.31,Robbins-Coleman,Robbins-Coleman - Prescription purchase,Others
2378,2024-04-02,2.44,Walmart Supercenter,Walmart Supercenter - Electric bill payment,Shopping
2379,2025-02-07,72.54,Jacobs-Glass,Jacobs-Glass - Course fee,Utilities
2380,2024-10-05,114.47,Local High School,Prescription purchase,Education
2381,2024-05-05,44.25,Green-Christensen,Gas refill,Bills
2382,2026-03-12,6.21,Taylor LLC,Electric bill payment,Bills
2383,2024-10-10,4.52,"Duffy, Forbes and Erickson","Duffy, Forbes and Erickson - Monthly subscription",Transport
2384,2024-05-08,61.24,Delta Airlines,Delta Airlines - Flight booking,Travel
2385,2026-08-20,2.66,CVS Pharmacy,CVS Pharmacy - Hotel stay,Travel
2386,2025-07-30,5.4,Owen Inc,Owen Inc - Electric bill payment,Bills
2387,2023-11-29,20.85,Electric Company,Lunch with friends,Bills
2388,2025-04-30,2.13,Williams-Warren,Williams-Warren - Electric bill payment,Bills
2389,2024-02-03,7.67,State University,State University - Hotel stay,Travel
2390,2025-02-20,151.02,"Allison, Newman and Taylor","Allison, Newman and Taylor - Monthly subscription",Entertainment
2391,2026-07-15,9.71,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
2392,2025-12-31,5.22,Manning-Newton,Manning-Newton - Monthly subscription,Food
2393,2024-08-14,6.78,Amazon Marketplace,Hotel stay,Travel
2394,2025-06-18,3.0,Spotify,Spotify - Monthly subscription,Entertainment
2395,2025-07-24,18.04,Gardner-Romero,Course fee,Education
2396,2025-03-14,49.34,Corner Grocery,Corner Grocery - Taxi ride,Food
2397,2024-06-06,7.14,Amazon Marketplace,Gas refill,Shopping
2398,2023-10-06,24.33,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
2399,2024-03-06,28.67,Corner Grocery,Corner Grocery - Monthly subscription,Shopping
2400,2026-05-13,8.29,State University,State University - Course fee,Education
2401,2025-05-29,19.08,Electric Company,Prescription purchase,Bills
2402,2023-09-11,65.39,Delta Airlines,Delta Airlines - Taxi ride,Travel
2403,2025-09-09,4.02,Local Taxi,Local Taxi - Gas refill,Bills
2404,2024-06-03,18.94,City Hospital,Taxi ride,Utilities
2405,2025-01-02,9.48,Electric Company,Electric Company - Online purchase,Bills
2406,2025-10-27,45.36,Mall Outlet,Electric bill payment,Bills
2407,2024-11-28,50.37,Turner Group,Turner Group - Flight booking,Health
2408,2023-10-05,4.01,"Glenn, Hines and Harris","Glenn, Hines and Harris - Gas refill",Bills
2409,2026-01-28,10.2,Haney Inc,Haney Inc - Online purchase,Others
2410,2025-03-16,19.16,State University,State University - Lunch with friends,Education
2411,2025-10-30,9.31,Ferguson-Daniel,Ferguson-Daniel - Course fee,Food
2412,2023-10-17,49.53,Lyft,Lyft - Course fee,Transport
2413,2025-01-19,59.77,Starbucks Coffee,Starbucks Coffee - Online purchase,Transport
2414,2024-03-25,14.94,Local High School,Local High School - Grocery shopping,Education
2415,2025-11-15,9.97,Walmart Supercenter,Walmart Supercenter - Flight booking,Shopping
2416,2025-06-26,28.43,Gay-Pineda,Gay-Pineda - Course fee,Food
2417,2024-10-15,8.05,Corner Grocery,Corner Grocery - Gas refill,Bills
2418,2023-09-12,5.19,"Alexander, Thompson and Lucas","Alexander, Thompson and Lucas - Prescription purchase",Bills
2419,2024-08-06,7.29,Brown-Glenn,Brown-Glenn - Flight booking,Shopping
2420,2026-03-08,79.75,Lyft,Lyft - Monthly subscription,Transport
2421,2025-10-22,94.46,CVS Pharmacy,Grocery shopping,Health
2422,2024-09-08,12.32,Jackson Inc,Hotel stay,Travel
2423,2025-02-11,6.28,CVS Pharmacy,CVS Pharmacy - Hotel stay,Travel
2424,2025-09-20,7.67,"Bryan, Matthews and Pierce",Course fee,Shopping
2425,2024-06-17,30.6,Mall Outlet,Mall Outlet - Grocery shopping,Shopping
2426,2023-11-28,6.09,Waterworks,Waterworks - Prescription purchase,Bills
2427,2024-10-07,18.04,Ellis Ltd,Ellis Ltd - Prescription purchase,Entertainment
2428,2023-12-04,73.19,Electric Company,Electric Company - Prescription purchase,Bills
2429,2025-09-01,1.09,Delta Airlines,Electric bill payment,Travel
2430,2026-02-10,25.12,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Food
2431,2025-11-08,14.85,"Lindsey, Foster and Shaw","Lindsey, Foster and Shaw - Prescription purchase",Transport
2432,2023-10-16,179.9,Mall Outlet,Mall Outlet - Gas refill,Bills
2433,2025-01-17,25.11,Moore PLC,Lunch with friends,Food
2434,2025-07-22,31.04,"Richards, Myers and Henderson",Lunch with friends,Bills
2435,2024-12-14,13.81,Mall Outlet,Gas refill,Bills
2436,2026-08-26,2.93,Waterworks,Waterworks - Prescription purchase,Bills
2437,2023-12-01,42.71,Duran Ltd,Duran Ltd - Electric bill payment,Bills
2438,2026-05-15,12.44,"Dunn, Wallace and Anderson","Dunn, Wallace and Anderson - Online purchase",Others
2439,2026-06-05,57.6,CVS Pharmacy,CVS Pharmacy - Electric bill payment,Health
2440,2026-04-03,42.57,Local Taxi,Monthly subscription,Food
2441,2024-07-30,22.2,Hess-Osborne,Hess-Osborne - Course fee,Travel
2442,2024-06-19,41.27,Hilton Hotels,Electric bill payment,Travel
2443,2026-01-27,23.47,Martinez-Bell,Martinez-Bell - Electric bill payment,Bills
2444,2024-06-03,8.84,"Castro, Bullock and Christensen","Castro, Bullock and Christensen - Lunch with friends",Others
2445,2025-02-02,8.1,Amazon Marketplace,Taxi ride,Shopping
2446,2024-04-19,54.06,Mall Outlet,Mall Outlet - Flight booking,Shopping
2447,2024-10-01,27.78,Local Taxi,Local Taxi - Hotel stay,Travel
2448,2025-01-03,31.12,"Clark, Stevens and Lucas","Clark, Stevens and Lucas - Course fee",Shopping
2449,2025-03-30,10.63,Nelson-Lee,Nelson-Lee - Taxi ride,Food
2450,2025-02-28,24.72,"Martinez, Adams and Williams",Online purchase,Food
2451,2023-11-22,16.2,Snyder-Gamble,Hotel stay,Travel
2452,2026-02-20,15.89,Starbucks Coffee,Starbucks Coffee - Gas refill,Bills
2453,2024-04-10,68.46,Local Taxi,Grocery shopping,Utilities
2454,2024-01-20,35.03,"Peters, Hicks and Conrad",Flight booking,Shopping
2455,2025-03-04,43.2,Scott-Hartman,Scott-Hartman - Lunch with friends,Bills
2456,2024-06-04,21.58,Starbucks Coffee,Online purchase,Entertainment
2457,2025-02-16,15.5,Lyft,Lyft - Course fee,Transport
2458,2025-01-28,14.9,Local High School,Course fee,Education
2459,2024-01-30,12.49,Delta Airlines,Prescription purchase,Travel
2460,2024-10-02,21.96,Netflix Streaming,Netflix Streaming - Lunch with friends,Entertainment
2461,2024-11-28,82.09,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
2462,2024-07-29,2.94,Mall Outlet,Flight booking,Shopping
2463,2025-08-09,40.3,City Hospital,City Hospital - Hotel stay,Travel
2464,2024-08-27,24.85,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
2465,2023-10-19,48.73,Mall Outlet,Mall Outlet - Online purchase,Education
2466,2025-07-24,50.34,Lyft,Gas refill,Transport
2467,2025-07-21,19.39,"Jennings, Carpenter and Ramirez",Flight booking,Education
2468,2025-04-26,26.27,CVS Pharmacy,CVS Pharmacy - Flight booking,Health
2469,2025-05-26,3.21,"Haynes, Bright and Meadows","Haynes, Bright and Meadows - Monthly subscription",Health
2470,2024-11-15,9.78,"Singleton, Johnson and Green",Flight booking,Utilities
2471,2024-05-24,18.94,Local High School,Grocery shopping,Education
2472,2026-04-25,40.58,Fisher Inc,Fisher Inc - Flight booking,Shopping
2473,2025-04-20,16.49,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
2474,2024-10-10,3.0,Gas Station,Gas Station - Prescription purchase,Bills
2475,2026-03-02,25.14,"Thompson, Lewis and West",Gas refill,Bills
2476,2025-04-15,23.35,"Harris, Bell and Campos",Hotel stay,Travel
2477,2025-10-20,53.11,Smith Ltd,Flight booking,Travel
2478,2025-11-30,6.74,"Bartlett, Bush and Hester","Bartlett, Bush and Hester - Online purchase",Food
2479,2025-05-04,69.46,Corner Grocery,Online purchase,Shopping
2480,2025-11-04,18.95,Gas Station,Electric bill payment,Bills
2481,2026-01-20,2.81,Uber Eats,Uber Eats - Electric bill payment,Transport
2482,2025-05-05,70.58,Harris-Webb,Flight booking,Utilities
2483,2023-10-11,23.91,Local Taxi,Local Taxi - Gas refill,Bills
2484,2025-08-20,2.81,"Hill, Ryan and Mitchell","Hill, Ryan and Mitchell - Electric bill payment",Bills
2485,2026-02-14,27.27,Gray-Schmidt,Gray-Schmidt - Prescription purchase,Entertainment
2486,2026-06-26,20.2,"Powers, Johnson and Estrada",Prescription purchase,Food
2487,2023-09-11,18.59,Graves-Smith,Lunch with friends,Education
2488,2025-09-16,16.44,"Richards, Munoz and Cantrell","Richards, Munoz and Cantrell - Hotel stay",Travel
2489,2025-11-02,60.13,"Douglas, Velazquez and Sanchez","Douglas, Velazquez and Sanchez - Lunch with friends",Travel
2490,2023-09-03,20.25,Corner Grocery,Corner Grocery - Monthly subscription,Travel
2491,2024-11-09,5.66,Mills-Stevens,Mills-Stevens - Prescription purchase,Food
2492,2025-10-01,19.6,CVS Pharmacy,Hotel stay,Travel
2493,2026-05-25,14.94,Perry PLC,Taxi ride,Others
2494,2024-08-20,7.72,"Wood, Jackson and Flores","Wood, Jackson and Flores - Online purchase",Utilities
2495,2023-09-28,49.07,City Hospital,City Hospital - Grocery shopping,Utilities
2496,2024-04-01,33.1,Electric Company,Grocery shopping,Bills
2497,2024-12-27,38.28,"Johnson, Martinez and Howard","Johnson, Martinez and Howard - Gas refill",Bills
2498,2025-03-29,9.83,Nash Ltd,Nash Ltd - Hotel stay,Travel
2499,2024-05-20,15.45,Lyft,Grocery shopping,Transport
2500,2026-05-25,12.18,"Wong, Stewart and Rodriguez","Wong, Stewart and Rodriguez - Course fee",Food
2501,2026-07-22,17.38,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
2502,2025-12-25,60.13,Cole-Jones,Cole-Jones - Prescription purchase,Others
2503,2025-05-12,3.31,Lyft,Gas refill,Transport
2504,2025-11-22,25.48,CVS Pharmacy,CVS Pharmacy - Gas refill,Health
2505,2025-06-13,74.39,Garner-Gonzalez,Garner-Gonzalez - Taxi ride,Utilities
2506,2024-07-28,1.46,Electric Company,Hotel stay,Travel
2507,2023-09-28,77.92,State University,State University - Taxi ride,Education
2508,2026-08-16,39.6,Gas Station,Hotel stay,Travel
2509,2024-04-04,43.72,Gas Station,Gas Station - Monthly subscription,Bills
2510,2026-01-07,72.48,Local Taxi,Local Taxi - Hotel stay,Travel
2511,2025-01-07,28.48,Delta Airlines,Delta Airlines - Electric bill payment,Travel
2512,2024-03-13,11.0,Delta Airlines,Delta Airlines - Grocery shopping,Travel
2513,2026-04-05,79.17,Mall Outlet,Grocery shopping,Food
2514,2026-03-28,23.97,Hilton Hotels,Hilton Hotels - Prescription purchase,Travel
2515,2025-03-07,15.47,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
2516,2024-09-19,87.42,Copeland-Jackson,Copeland-Jackson - Hotel stay,Travel
2517,2023-09-07,32.66,Starbucks Coffee,Monthly subscription,Utilities
2518,2025-11-02,4.43,Amazon Marketplace,Grocery shopping,Shopping
2519,2024-08-03,5.95,Spotify,Spotify - Course fee,Entertainment
2520,2023-12-05,61.05,Uber Eats,Uber Eats - Taxi ride,Transport
2521,2025-03-24,136.33,Hilton Hotels,Hilton Hotels - Prescription purchase,Travel
2522,2025-05-12,19.65,Starbucks Coffee,Lunch with friends,Shopping
2523,2025-05-17,8.72,Walmart Supercenter,Prescription purchase,Shopping
2524,2024-01-01,2.3,Corner Grocery,Corner Grocery - Grocery shopping,Shopping
2525,2026-05-01,48.53,Delta Airlines,Monthly subscription,Travel
2526,2024-04-21,1.4,Johnston-Harris,Johnston-Harris - Online purchase,Entertainment
2527,2024-09-08,17.75,State University,State University - Prescription purchase,Education
2528,2026-05-27,8.28,Holmes-Smith,Holmes-Smith - Electric bill payment,Bills
2529,2026-06-03,4.8,Robinson Group,Robinson Group - Grocery shopping,Transport
2530,2024-01-31,1.78,Henderson PLC,Henderson PLC - Gas refill,Bills
2531,2023-09-22,53.42,Edwards-Mckenzie,Lunch with friends,Food
2532,2023-10-03,27.86,Chen Group,Gas refill,Bills
2533,2024-11-25,60.05,CVS Pharmacy,CVS Pharmacy - Taxi ride,Health
2534,2026-03-25,30.88,"Cruz, Jacobs and Smith","Cruz, Jacobs and Smith - Flight booking",Food
2535,2023-11-18,5.29,Starbucks Coffee,Starbucks Coffee - Online purchase,Utilities
2536,2024-12-14,118.52,"Woods, Novak and Chavez","Woods, Novak and Chavez - Flight booking",Food
2537,2025-03-08,4.82,Lyft,Lyft - Lunch with friends,Transport
2538,2023-10-22,73.81,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
2539,2024-04-30,10.03,Guerrero LLC,Guerrero LLC - Monthly subscription,Travel
2540,2023-11-22,81.59,Hilton Hotels,Lunch with friends,Travel
2541,2026-07-06,20.41,Walmart Supercenter,Course fee,Shopping
2542,2024-04-08,2.96,CVS Pharmacy,Lunch with friends,Health
2543,2023-08-31,30.01,Corner Grocery,Corner Grocery - Monthly subscription,Entertainment
2544,2024-03-16,9.97,Waterworks,Waterworks - Grocery shopping,Bills
2545,2025-04-28,28.7,"Kelly, Anderson and Cross","Kelly, Anderson and Cross - Lunch with friends",Bills
2546,2024-05-25,44.61,Reyes and Sons,Reyes and Sons - Flight booking,Transport
2547,2024-08-01,24.67,Collier-Reyes,Gas refill,Bills
2548,2023-12-15,6.45,"Gonzales, Price and Lin","Gonzales, Price and Lin - Online purchase",Transport
2549,2026-08-20,64.36,Patterson-Young,Patterson-Young - Gas refill,Bills
2550,2024-09-03,18.78,Harmon-Cunningham,Harmon-Cunningham - Online purchase,Others
2551,2026-05-17,62.21,Uber Eats,Online purchase,Transport
2552,2024-07-19,20.02,Local High School,Local High School - Monthly subscription,Education
2553,2026-01-24,4.31,Local High School,Local High School - Gas refill,Education
2554,2024-11-18,3.14,City Hospital,Gas refill,Bills
2555,2026-04-01,6.42,Local Taxi,Grocery shopping,Entertainment
2556,2024-12-08,56.59,Local Taxi,Local Taxi - Grocery shopping,Education
2557,2026-08-26,24.86,Waterworks,Waterworks - Electric bill payment,Bills
2558,2025-05-20,17.63,City Hospital,Course fee,Travel
2559,2024-03-26,140.28,Amazon Marketplace,Amazon Marketplace - Prescription purchase,Shopping
2560,2025-02-08,103.2,Local Taxi,Local Taxi - Online purchase,Others
2561,2026-01-14,13.46,Waterworks,Waterworks - Flight booking,Bills
2562,2024-08-17,15.52,Joe's Pizza,Prescription purchase,Food
2563,2024-11-01,3.1,Local High School,Local High School - Electric bill payment,Education
2564,2026-08-11,43.36,Brewer Group,Brewer Group - Hotel stay,Travel
2565,2026-08-22,9.29,Hilton Hotels,Gas refill,Travel
2566,2025-10-23,17.49,Mall Outlet,Mall Outlet - Hotel stay,Travel
2567,2026-03-06,31.08,Steele-Miller,Flight booking,Others
2568,2025-01-19,64.69,"Rush, Olsen and Barnes",Grocery shopping,Health
2569,2025-10-19,6.43,Mall Outlet,Lunch with friends,Shopping
2570,2026-07-24,75.95,Netflix Streaming,Monthly subscription,Entertainment
2571,2024-09-02,34.23,Local Taxi,Local Taxi - Electric bill payment,Bills
2572,2024-05-13,56.09,Walmart Supercenter,Walmart Supercenter - Hotel stay,Travel
2573,2025-06-19,15.27,Cooper-Clark,Cooper-Clark - Course fee,Utilities
2574,2024-07-15,24.2,Moore and Sons,Moore and Sons - Taxi ride,Others
2575,2023-10-06,47.39,Local Taxi,Electric bill payment,Bills
2576,2025-04-17,12.36,Delta Airlines,Gas refill,Travel
2577,2025-04-06,13.78,Sullivan-Bradley,Prescription purchase,Shopping
2578,2026-08-10,2.11,Lyft,Lyft - Lunch with friends,Transport
2579,2024-03-29,52.37,"Guerra, Moody and Perry","Guerra, Moody and Perry - Monthly subscription",Food
2580,2025-09-11,14.07,Hilton Hotels,Hilton Hotels - Prescription purchase,Travel
2581,2025-09-21,40.51,Fox LLC,Fox LLC - Monthly subscription,Shopping
2582,2024-03-15,35.08,Miller-Howe,Electric bill payment,Bills
2583,2024-04-28,46.52,Local Taxi,Grocery shopping,Transport
2584,2025-09-20,5.14,Joe's Pizza,Joe's Pizza - Lunch with friends,Food
2585,2024-06-17,75.68,"Gibson, Adams and Patton","Gibson, Adams and Patton - Grocery shopping",Food
2586,2023-10-23,59.85,"Fowler, Richardson and Davis","Fowler, Richardson and Davis - Flight booking",Utilities
2587,2024-08-23,15.97,Stewart and Sons,Stewart and Sons - Flight booking,Travel
2588,2025-06-22,19.51,"Hayes, Haley and Velasquez","Hayes, Haley and Velasquez - Gas refill",Bills
2589,2024-08-16,32.7,Corner Grocery,Hotel stay,Travel
2590,2025-10-31,19.99,Walmart Supercenter,Course fee,Shopping
2591,2025-01-15,1.46,Uber Eats,Uber Eats - Hotel stay,Transport
2592,2024-06-28,15.34,Joe's Pizza,Joe's Pizza - Gas refill,Food
2593,2026-06-12,40.72,Corner Grocery,Corner Grocery - Prescription purchase,Transport
2594,2026-01-21,34.76,Hilton Hotels,Hilton Hotels - Gas refill,Travel
2595,2025-04-27,5.2,Cervantes PLC,Flight booking,Food
2596,2026-05-26,22.58,Moody and Sons,Gas refill,Bills
2597,2023-09-15,3.21,Edwards Group,Course fee,Food
2598,2026-03-31,116.39,Joe's Pizza,Hotel stay,Food
2599,2025-11-13,50.53,Waterworks,Waterworks - Grocery shopping,Bills
2600,2025-09-24,13.48,Spotify,Spotify - Monthly subscription,Entertainment
2601,2025-10-09,1.82,Joe's Pizza,Gas refill,Food
2602,2025-08-19,59.89,Ryan-Moore,Ryan-Moore - Lunch with friends,Shopping
2603,2025-02-22,37.92,Amazon Marketplace,Amazon Marketplace - Gas refill,Shopping
2604,2024-03-30,9.31,Corner Grocery,Corner Grocery - Course fee,Transport
2605,2026-08-09,17.07,Nguyen-Mills,Nguyen-Mills - Monthly subscription,Utilities
2606,2025-07-12,10.42,Young-Schroeder,Young-Schroeder - Grocery shopping,Shopping
2607,2025-04-18,3.65,Mall Outlet,Mall Outlet - Grocery shopping,Education
2608,2025-11-22,86.54,Uber Eats,Uber Eats - Electric bill payment,Transport
2609,2024-08-28,20.08,Local Taxi,Local Taxi - Electric bill payment,Bills
2610,2023-09-16,17.77,State University,Taxi ride,Education
2611,2024-03-13,3.57,Hilton Hotels,Hilton Hotels - Flight booking,Travel
2612,2025-09-07,7.69,State University,State University - Flight booking,Education
2613,2025-03-11,21.32,Netflix Streaming,Netflix Streaming - Course fee,Entertainment
2614,2026-01-19,67.55,Waterworks,Waterworks - Course fee,Bills
2615,2025-12-10,35.06,State University,State University - Prescription purchase,Education
2616,2025-08-06,18.13,Starbucks Coffee,Starbucks Coffee - Grocery shopping,Entertainment
2617,2024-11-26,29.66,Waterworks,Waterworks - Online purchase,Bills
2618,2025-05-09,19.62,Davis-Brooks,Davis-Brooks - Monthly subscription,Travel
2619,2025-06-19,30.42,Corner Grocery,Corner Grocery - Grocery shopping,Utilities
2620,2026-04-22,32.83,CVS Pharmacy,CVS Pharmacy - Gas refill,Health
2621,2025-11-26,4.57,Lyft,Lunch with friends,Transport
2622,2024-01-05,39.68,Hilton Hotels,Flight booking,Travel
2623,2024-02-19,3.31,CVS Pharmacy,CVS Pharmacy - Electric bill payment,Health
2624,2025-10-24,19.45,Hicks Group,Gas refill,Bills
2625,2025-11-06,15.23,Lyft,Lyft - Hotel stay,Transport
2626,2024-03-30,10.32,Delta Airlines,Delta Airlines - Lunch with friends,Travel
2627,2025-08-31,5.17,Local Taxi,Local Taxi - Gas refill,Bills
2628,2025-07-14,66.01,Spotify,Spotify - Monthly subscription,Entertainment
2629,2023-11-09,79.88,Electric Company,Electric Company - Electric bill payment,Bills
2630,2024-04-26,4.62,Waterworks,Waterworks - Course fee,Bills
2631,2024-03-27,65.3,Gas Station,Gas Station - Online purchase,Bills
2632,2023-11-23,21.43,"Blair, Craig and Coleman",Taxi ride,Transport
2633,2023-10-09,48.56,Lyft,Lyft - Electric bill payment,Transport
2634,2026-08-02,49.36,Gas Station,Prescription purchase,Bills
2635,2024-04-13,3.48,Kelley-Barnes,Kelley-Barnes - Gas refill,Bills
2636,2024-05-11,15.89,Walmart Supercenter,Hotel stay,Travel
2637,2025-01-13,47.3,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
2638,2024-11-02,4.18,Corner Grocery,Lunch with friends,Food
2639,2025-03-09,29.42,Bryant-Porter,Taxi ride,Food
2640,2026-07-22,21.57,Castillo-Holder,Gas refill,Bills
2641,2026-03-06,12.98,Delta Airlines,Delta Airlines - Monthly subscription,Travel
2642,2025-08-07,7.21,CVS Pharmacy,Taxi ride,Health
2643,2024-08-19,50.44,"Johnson, Ward and Miranda","Johnson, Ward and Miranda - Hotel stay",Travel
2644,2024-09-16,2.34,City Hospital,Grocery shopping,Others
2645,2026-04-09,1.95,Joe's Pizza,Flight booking,Food
2646,2025-05-14,30.35,Johnson and Sons,Johnson and Sons - Taxi ride,Shopping
2647,2026-04-13,47.87,Corner Grocery,Corner Grocery - Lunch with friends,Bills
2648,2025-05-13,5.91,Netflix Streaming,Netflix Streaming - Prescription purchase,Entertainment
2649,2026-01-21,5.91,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
2650,2024-01-22,104.15,Starbucks Coffee,Starbucks Coffee - Course fee,Bills
2651,2025-04-06,25.53,"Robertson, Smith and Miller","Robertson, Smith and Miller - Gas refill",Bills
2652,2024-05-08,4.36,Hilton Hotels,Hotel stay,Travel
2653,2025-03-28,54.64,"Moore, Compton and Cook","Moore, Compton and Cook - Gas refill",Bills
2654,2026-02-19,9.9,Rivera-Fisher,Rivera-Fisher - Gas refill,Bills
2655,2025-10-06,9.84,Howard-Howard,Howard-Howard - Online purchase,Shopping
2656,2023-12-04,25.46,"Simon, Sanchez and Werner",Online purchase,Others
2657,2025-07-07,44.44,Starbucks Coffee,Starbucks Coffee - Course fee,Travel
2658,2024-05-27,1.11,Schmidt LLC,Schmidt LLC - Flight booking,Utilities
2659,2023-10-06,26.06,Electric Company,Electric Company - Flight booking,Bills
2660,2024-07-09,22.23,CVS Pharmacy,Prescription purchase,Health
2661,2026-01-05,57.78,Mall Outlet,Mall Outlet - Flight booking,Travel
2662,2025-04-14,21.07,Amazon Marketplace,Amazon Marketplace - Monthly subscription,Shopping
2663,2025-04-26,10.33,Netflix Streaming,Electric bill payment,Entertainment
2664,2024-04-18,34.35,Montes-Lawrence,Gas refill,Bills
2665,2026-06-03,9.49,Lyft,Prescription purchase,Transport
2666,2025-08-21,19.39,Jensen-Krueger,Jensen-Krueger - Taxi ride,Others
2667,2026-02-08,19.23,CVS Pharmacy,CVS Pharmacy - Monthly subscription,Health
2668,2026-03-12,85.22,Joe's Pizza,Joe's Pizza - Taxi ride,Food
2669,2024-10-05,48.5,Corner Grocery,Monthly subscription,Shopping
2670,2025-06-14,17.05,Mall Outlet,Mall Outlet - Electric bill payment,Bills
2671,2026-01-06,22.24,Joe's Pizza,Joe's Pizza - Electric bill payment,Food
2672,2025-04-17,141.23,Starbucks Coffee,Gas refill,Bills
2673,2026-04-11,49.74,Gas Station,Taxi ride,Bills
2674,2023-12-02,21.14,Smith-Gibbs,Smith-Gibbs - Prescription purchase,Shopping
2675,2025-10-17,8.43,Hilton Hotels,Hotel stay,Travel
2676,2024-01-29,19.95,Electric Company,Monthly subscription,Bills
2677,2025-03-12,7.06,Galvan Group,Galvan Group - Course fee,Food
2678,2025-06-10,14.82,"Harris, Reeves and Case",Flight booking,Others
2679,2026-07-04,9.96,Starbucks Coffee,Flight booking,Food
2680,2023-12-24,13.38,Starbucks Coffee,Starbucks Coffee - Prescription purchase,Shopping
2681,2024-06-25,7.5,Melendez-Meyer,Melendez-Meyer - Prescription purchase,Education
2682,2025-06-24,31.05,Netflix Streaming,Gas refill,Entertainment
2683,2026-05-12,19.49,Starbucks Coffee,Starbucks Coffee - Gas refill,Bills
2684,2023-12-04,76.16,Edwards-Love,Edwards-Love - Flight booking,Entertainment
2685,2025-07-21,13.31,CVS Pharmacy,Gas refill,Health
2686,2025-06-03,21.09,Walmart Supercenter,Walmart Supercenter - Gas refill,Shopping
2687,2024-03-27,5.06,"Moore, Thompson and Holden",Lunch with friends,Food
2688,2025-07-12,48.02,Hoover LLC,Hoover LLC - Electric bill payment,Bills
2689,2024-06-18,42.02,Amazon Marketplace,Amazon Marketplace - Gas refill,Shopping
2690,2024-07-03,13.33,"Parker, Rodriguez and Francis",Gas refill,Bills
2691,2025-04-21,23.61,Graham-Santiago,Flight booking,Travel
2692,2024-05-03,15.83,Hilton Hotels,Hilton Hotels - Course fee,Travel
2693,2024-02-23,39.74,Walmart Supercenter,Flight booking,Shopping
2694,2025-01-06,47.37,Spotify,Spotify - Grocery shopping,Entertainment
2695,2025-09-01,20.62,Delta Airlines,Lunch with friends,Travel
2696,2026-03-21,12.38,Mall Outlet,Mall Outlet - Prescription purchase,Shopping
2697,2024-03-31,23.46,Uber Eats,Hotel stay,Transport
2698,2023-09-26,3.66,Knapp LLC,Electric bill payment,Bills
2699,2024-05-13,19.41,Spotify,Spotify - Grocery shopping,Entertainment
2700,2025-06-21,14.65,Haney Inc,Taxi ride,Food
2701,2025-09-11,6.12,Leon-Morales,Electric bill payment,Bills
2702,2024-02-28,42.62,Williams and Sons,Williams and Sons - Gas refill,Bills
2703,2026-08-13,20.38,Local Taxi,Local Taxi - Flight booking,Health
